site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-15T06:00+02:00,Wedin (M) skräms med att bo nära invandrare,Markus Alexandersson,Moderater blåser i rasistisk hundvissla när opinionen sviker,https://www.aftonbladet.se/ledare/a/0pWz5E/moderaten-skrams-med-att-bo-nara-en-invandrare
DN Ledare,2026-07-14T17:57+02:00,Vem minns surt regn i dag? Miljöproblem går att lösa,Elias Rosell,Ambitiös politik och ny teknik har förbättrat flera miljöproblem. Och så här kan Östersjön bli friskare och ängsmarkerna mer blomstrande.,https://www.dn.se/ledare/elias-rosell-vilka-av-dagens-miljoproblem-ar-losta-om-nagra-decennier/
DN Ledare,2026-07-15T05:17+02:00,Ledare: Putin ser allt mer ut som en förlorare,DN:s ledarredaktion,Den här våren har något hänt i kriget – som till och med tvingat Donald Trump att backa från den ryske presidenten Vladimir Putin.,https://www.dn.se/ledare/putin-ser-allt-mer-ut-som-en-forlorare/
DN Ledare,2026-07-15T06:25+02:00,Luftkonditionering räddar liv – men fastnar i kulturkrigsgeggan,Isobel Hadley-Kamptz; Isobel Hadley,"Luftkonditionering har blivit en kulturkrigsfråga, men att vi måste sluta med fossila bränslen är inget argument mot AC.",https://www.dn.se/ledare/isobel-hadley-kamptz-maste-luftkonditionering-ocksa-bli-ett-offer-for-kulturkriget/
Expressen Ledare,2026-07-14T18:00+02:00,Donald Trump gör USA till förlorare,Expressens ledarredaktion,Donald Trump felbedömde Iran. Det får hela världen betala för. Donald Trump har kastat några av sina vassaste utrikespolitiska verktyg i sjön.,https://www.expressen.se/ledare/donald-trump-gor-usa-till-forlorare/
Expressen Ledare,2026-07-15T06:10+02:00,Hackspetten kostade familjen flera miljoner,Lydia Wålsten,En tretåig hackspett har plundrat ett pensionssparande. Men det är inte fågelns fel. I skogen är äganderätten på undantag.,https://www.expressen.se/ledare/lydia-walsten/hackspetten-kostade--familjen-flera-miljoner/
GP Ledare,2026-07-15T05:00+02:00,Danmarks elkris är en varning för Sverige,Daniel Åkerman,Danmark satsade på vindkraft men försummade resten av elsystemet. Nu stoppas nya anslutningar till ett överbelastat elnät. Sverige bör dra lärdom innan samma energipolitiska misstag upprepas här.,https://www.gp.se/ledare/danmarks-elkris-ar-en-varning-for-sverige.9f45485f-d60f-4ec8-84eb-eb2a6e6798ec
GP Ledare,2026-07-15T05:00+02:00,Lägg ned halva högskolan,Joel Stade,AI ritar om arbetsmarknaden medan politiken än så länge inte låtsas om det. Men en uppenbar slutsats borde vara att Sverige utbildar för många akademiker.,https://www.gp.se/ledare/gastkronika/lagg-ned-halva-hogskolan.04326da4-268a-4793-b012-c993b0bdd29d
SvD Ledare,2026-07-15T06:00+02:00,USA klampar vidare i klaveret,Olof Ehrenkrona,Fortsatt krig kommer stå Trump dyrt – och oss.,https://www.svd.se/a/GxO2zm/kriget-i-iran-usa-klampar-vidare-i-klaveret
Sydsvenskan Huvudledare,2026-07-15T06:06+02:00,"Tidö talar väl om ETS, men tungan är kluven.",Sydsvenskans ledarredaktion,"Sverige återfinns på den andra sidan, den som vill se att EU håller linjen med hög ambitionsnivå. Det har EU-minister Jessica Rosencrantz (M) gjort klart:",https://www.sydsvenskan.se/opinion/huvudledare/tido-talar-val-om-ets-men-tungan-ar-kluven/
