site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-24T06:00+02:00,Socialtjänsten kan inte bara förebygga brott,Markus Alexandersson,Socialtjänsten kan inte bara förebygga brott,https://www.aftonbladet.se/ledare/a/L490vq/socialsekreterare-behover-fa-tanka-pa-annat-an-kriminalitet
DN Ledare,2026-07-23T20:32+02:00,I manosfären finns kvinnohat – Nina Larsson kan agera,Viktor Karlsson,Jämställdhetsminister Nina Larsson (L) kritiserar kvinnohatet hos Andrew Tate. Men det finns viktigare strider att ta för att motverka toxisk manlighet.,https://www.dn.se/ledare/viktor-karlsson-sa-har-kan-ministern-markera-mot-nattroll-och-mansgrisar/
DN Ledare,2026-07-24T05:17+02:00,Ledare: Allt fler inser att högerns framtid finns i mitten,DN:s ledarredaktion,Tidöprojektet är på väg mot papperskorgen. Moderaterna och Liberalerna borde vända sig mot mitten.,https://www.dn.se/ledare/allt-fler-inser-att-hogerns-framtid-finns-i-mitten/
DN Ledare,2026-07-24T09:06+02:00,Annika Ström Melin: Låt inte SD slå sönder EU:s klimatpolitik,Annika Ström Melin,Höstens val till riksdagen handlar också om EU-politik. Sverige måste försöka rädda unionens klimatpolitik.,https://www.dn.se/ledare/annika-strom-melin-lat-inte-sverigedemokraterna-sla-sonder-eus-klimatpolitik/
Expressen Ledare,2026-07-23T18:00+02:00,Tyck synd om mig – köttberget tog min pension,Rutger Brattström,Pensionssystemet är på väg att kollapsa. Om vi inte agerar nu kommer alla framtida generationer att bli fattigpensionärer. Det orangea kuvertet kommer bli en sorglig läsning för dagens unga.,https://www.expressen.se/ledare/rutger-brattstrom/tyck-synd-om-mig-kottberget-tog-min-pension/
Expressen Ledare,2026-07-24T06:10+02:00,Generation Greta har har skäl att gråta blod,Expressens ledarredaktion,Trots sommarens besvärliga värmebölja över Europa vill EU-kommissionen mildra klimatkraven. Vem vågar då investera grönt? Nästan 35 grader i Malmö i juni och köer till badstegarna.,https://www.expressen.se/ledare/generation-greta-har-har-skal-att-grata-blod/
GP Ledare,2026-07-24T05:00+02:00,Det är inte nostalgi utan framtidsvurm som dominerat,Joel Stade,Väljarna är inte nostalgiska av naturen utan för att de anser att samhället har gått åt fel håll i ett antal konkreta frågor.,https://www.gp.se/ledare/gastkronika/det-ar-inte-nostalgi-utan-framtidsvurm-som-dominerat.79257d9d-5417-4684-8dfb-84971b8165e5
GP Ledare,2026-07-24T05:00+02:00,En naiv syn på politik,Per Gudmundson,Demokrati handlar inte om att ge folk vad de vill ha.,https://www.gp.se/ledare/gastkolumn/en-naiv-syn-pa-politik.1f133d50-26ea-4c32-b0c0-94b6f42eba5b
SvD Ledare,2026-07-24T06:00+02:00,Hetslagen är och förblir en olycka,Mattias Svensson,Triggar lusten att tysta meningsmotståndare.,https://www.svd.se/a/y5949r/hetslagen-ar-och-forblir-en-olycka
Sydsvenskan Huvudledare,2026-07-23T18:55+02:00,Om regeringen slösar mindre behövs inget svenskt Doge.,Sydsvenskans ledarredaktion,"Det här är byråkratins motorsåg, vrålade Elon Musk framför publiken på den amerikanska högerns konferens CPAC i februari i fjol. Han var då i färd med att sjösätta sitt effektiviseringsorgan Doge, på uppdrag av president Donald Trump. Syftet var att skära ner på kostnaderna i statsapparaten, med inspiration från den argentinska presidenten Javier Milei som också levererade en faktisk motorsåg till Musk på scen. Doge sparkade myndighetsanställda och slopade mångfaldsprogrammet DEI – och stängde ner biståndsmyndigheten USAID, vilket enligt nya bedömningar kan ha lett till att 700 000 människor runt om i världen har dött. Ett minst sagt svindlande högt pris för lite minskad byråkrati.",https://www.sydsvenskan.se/opinion/huvudledare/om-regeringen-slosar-mindre-behovs-inget-svenskt-doge/
