site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-10T06:00+02:00,För Kristersson handlar allt om att ha rätt kompisar,Markus Alexandersson,"Moderater, Landerholmare och lobbyism i en salig blandning",https://www.aftonbladet.se/ledare/a/j0kaG9/for-kristersson-handlar-allt-om-ratt-natverk
DN Ledare,2026-07-09T19:08+02:00,Ledare: Trump har rätt om regimen i Iran,DN:s ledarredaktion,Förtryckarna i Teheran går inte att lita på. Men då var det ju dumt att sätta sig i den här usla förhandlingssitsen gentemot dem.,https://www.dn.se/ledare/trump-har-ratt-om-regimen-i-iran-men-det-gor-bara-kriget-mer-obegripligt/
DN Ledare,2026-07-10T05:52+02:00,Nu måste Nigel Farage kampanja mot en soptunna,Isobel Hadley-Kamptz; Isobel Hadley,Det finns ingenting som auktoritära politiker hatar mer än att framstå som löjliga. Det blir svårt att undvika när ens enda motståndare heter Count Binface.,https://www.dn.se/ledare/isobel-hadley-kamptz-nu-maste-nigel-farage-kampanja-mot-en-soptunna/
Di Ledare,2026-07-10T07:55+02:00,Sveriges integrationskris och migrationspolitikens utmaningar,Alexandra Ivanov Hökmark,"Sverige har en allvarlig integrationskris. Därför gör M, SD, S, KD och L helt rätt som stramar åt migrationspolitiken.",https://www.di.se/ledare/sverige-gor-ratt-i-migrationspolitiken/
Expressen Ledare,2026-07-09T18:00+02:00,Argentinas varulvar är nu SD-politik,Rutger Brattström,Argentina gick loss med motorsåg på byråkratin. Nu vill Sverigedemokraterna kopiera konceptet. Det gör de rätt i. Snart kan vargarna yla fritt i Argentina.,https://www.expressen.se/ledare/rutger-brattstrom/varulvarna-slapps--loss-i-argentina/
Expressen Ledare,2026-07-10T06:10+02:00,Lekande lätt för mäklare att lura dig på miljoner,Expressens ledarredaktion,Nio av tio anmälningar mot fastighetsmäklare utreds aldrig av myndigheterna. Trots att branschen pekats ut som särskilt intressant för kriminella. Det är under all kritik. Hela nio av tio anmälningar mot mäklare utreds inte.,https://www.expressen.se/ledare/lekande-latt-for-maklare-att-lura-dig-pa-miljoner/
GP Ledare,2026-07-10T05:00+02:00,Alla barn ska kunna simma,Kornelius Persson,På senare år har trenden vänt och antalet drunkningsolyckor ökat. I dag kan var tionde barn mellan 10 och 16 år inte simma.,https://www.gp.se/ledare/alla-barn-ska-kunna-simma.1d15d846-f0e0-4f0b-b588-d156941fc707
GP Ledare,2026-07-10T05:00+02:00,In Sweden we have a system,Rudolf Antoni,Den svenska modellen är värd att försvara,https://www.gp.se/ledare/gastkolumn/in-sweden-we-have-a-system.1c08ede2-aa5b-4ec5-8816-fe3b0b01d537
SvD Ledare,2026-07-10T06:00+02:00,Vattenbristen är inte medborgarnas fel,Sofia Ek Hallonqvist,Vattenbristen kräver politiskt ansvarstagande.,https://www.svd.se/a/oEw710/vattenbristen-ar-ett-politiskt-misslyckande-inte-medborgarnas-fel
