site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-17T06:00+02:00,Tidös klimatförnekelse är ett hån i värmeböljan,Markus Alexandersson,Tiotusentals har dött i Europa,https://www.aftonbladet.se/ledare/a/Wv8Ajj/tidoregeringen-bidrar-till-att-manniskor-dor-i-varmeboljan
DN Ledare,2026-07-16T20:48+02:00,Max Hjelm: Kritiker missar poängen med Nolans ”The Odyssey”,Max Hjelm,Att filmatisera en klassiker är ett högriskprojekt. Men Christopher Nolans ”The Odyssey” är vikig oavsett hur bra den är.,https://www.dn.se/ledare/max-hjelm-kritikerna-missar-poangen-med-christopher-nolans-the-odyssey/
DN Ledare,2026-07-17T05:34+02:00,Ledare: Elon Musks facit hittills – 500 000 döda barn,DN:s ledarredaktion,Ett år efter nedläggningen av USAID är siffrorna brutala. Mer än 500 000 barn beräknas ha dött och både barnäktenskapen och våldet mot kvinnor har ökat.,https://www.dn.se/ledare/elon-musks-facit-hittills-500-000-doda-barn/
DN Ledare,2026-07-17T06:34+02:00,Oscar Jonsson: Europa har slutat hoppas på USA,Oscar Jonsson,Tillbakadragandet av amerikanska förmågor går fortare än uppbyggnaden av europeiska. Från och med nästa år kan Rysslands relativa övertag gentemot Europa vara som störst. KOLUMNEN. Oscar Jonsson är doktor i rysk krigföring och fristående kolumnist på Dagens Nyheters ledarsida.,https://www.dn.se/ledare/oscar-jonsson-europa-har-slutat-hoppas-pa-usa-men-jobbet-kvarstar/
Di Ledare,2026-07-16T18:43+02:00,20 år av Twitter/X: Hur sociala medier förändrat debatten,Erik Zsiga,"I veckan har det gått 20 år sedan mikrobloggen Twitter lanserades. LinkedIn och Facebook hade då funnits i några år, men slog igenom bredare vid ungefär den tiden. Så jubileet är ett bra tillfälle att utvärdera hur sociala medier har påverkat samhällsdebatten.",https://www.di.se/ledare/alla-ansvarar-for-samtalet-i-sociala-medier/
Expressen Ledare,2026-07-16T18:00+02:00,Självsmeket på jobbet är skadligt för alla,Lydia Wålsten,"Linkedin-personer som har nära till skryt och skrävel premieras professionellt, även om de är sämre än sina kolleger. Det är galenskap. Rationellt att vi älskar att hata.",https://www.expressen.se/ledare/lydia-walsten/sjalvsmeket-pa-jobbet-ar-skadligt-for-alla/
GP Ledare,2026-07-17T05:00+02:00,S-ledningen valde fel sida i Botkyrka,Ann-Sofie Hermansson; Sofie Hermansson,Ebba Östlin vände på varje sten i kampen mot den organiserade brottsligheten. För det sveks hon av partiet.,https://www.gp.se/ledare/gastkolumn/s-ledningen-valde-fel-sida-i-botkyrka.287c1884-5209-499b-a4f8-75801defc701
SvD Ledare,2026-07-17T06:00+02:00,Fler IVF-försök rår inte på den biologiska klockan,Madina Refoi,Subventioner löser inte de låga födelsetalen.,https://www.svd.se/a/aJK95A/fler-ivf-forsok-rar-inte-pa-den-biologiska-klockan
