site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-11T06:00+02:00,Majas ryggrad förstördes av kjolen,Samael Atlagic,Hedersförtryck är bara intressant om Busch får trycka ner muslimer,https://www.aftonbladet.se/ledare/a/Ar0Rgz/majas-ryggrad-forstordes-av-kjolen
Aftonbladet Ledare,2026-07-11T06:00+02:00,Simona Mohamssons dagar i Tidö är räknade,Lina Stenberg,Simona Mohamssons dagar i Tidö är räknade,https://www.aftonbladet.se/ledare/a/y5x8og/simona-mohamssons-dagar-i-tido-ar-raknade
DN Ledare,2026-07-10T18:01+02:00,Max Hjelm: Demokraterna föll för frestelse – det kan bli dyrt,Max Hjelm,Den demokratiske kandidaten Graham Platner tvingas avsluta kampanjen efter en våldtäktsanklagelse. Det kan bli en dyrköpt läxa för partiet.,https://www.dn.se/ledare/max-hjelm-demokraterna-foll-for-en-farlig-frestelse-och-kan-fa-betala-dyrt/
DN Ledare,2026-07-11T05:46+02:00,Ledare: Medelklassen behöver inte politikernas snabba cash,DN:s ledarredaktion,"Partierna satsar på åtgärder till alla hushåll. Det kanske är effektiv valpolitik, men inte klok ekonomisk politik.",https://www.dn.se/ledare/medelklassen-lever-gott-den-behover-inte-politikernas-snabba-cash/
DN Ledare,2026-07-11T06:36+02:00,Vår norska lillebror har blivit stor – det är dags att ro,Viktor Karlsson,"Norge gick sin egen väg 1905. Visst skaver det lite att de håller på att växa om Sverige, men det finns mycket att tjäna på nordiskt samarbete.",https://www.dn.se/ledare/viktor-karlsson-var-norska-lillebror-har-blivit-stor-dags-att-ro-tillsammans/
Di Ledare,2026-07-11T01:21+02:00,Sverige behöver en EU-debatt,Erik Zsiga,Intresset och engagemanget för EU är litet i svensk politik. Det är en anledning till att Sverige ibland uppfattas ha mindre inflytande i samarbetet. Vi skulle behöva formulera en tanke om vad vi vill med EU-medlemskapet.,https://www.di.se/ledare/sverige-behover-en-eu-debatt/
Expressen Ledare,2026-07-10T18:00+02:00,Heder har inget i simskolan att göra,Linnea Lindquist,"Nej, det är inte fint och tolerant att vaka över utsatta flickors ”heder” i badhuset. Det är ett stort och ryggradslöst svek. Simskolor ska inte ge efter för krav att könsseparera barn.",https://www.expressen.se/ledare/linnea-lindquist/heder-har-inget-i-simskolan-att-gora/
Expressen Ledare,2026-07-11T07:00+02:00,Nooshis farliga flirt med pensionärerna,Expressens ledarredaktion,Vänsterpartiet vill höja inkomstpensionen med 2 000 kronor i månaden för alla. Trots att alla andra åldersgrupper har fler som lever relativt fattigt. Det är vansinne. Nooshi Dadgostar flirtar gränslöst med pensionärerna.,https://www.expressen.se/ledare/nooshis-farliga-flirt-med-pensionarerna/
GP Ledare,2026-07-11T05:00+02:00,Med örnblick på kulturdebatten,Klas A. M. Eriksson,Först när kulturkriget övergår i samtal kan vi gå bortom det banala.,https://www.gp.se/ledare/med-ornblick-pa-kulturdebatten.68508207-d107-4819-ab48-73ed5c5d4326
SvD Ledare,2026-07-10T18:55+02:00,Hur sossigt är egentligen Sverige?,SvD:s ledarredaktion,LEDARE. PODD | 10 juli. Och är det sant att det egentligen inte råder någon vattenbrist?,https://www.svd.se/a/V65aj3/hur-sossigt-ar-egentligen-sverige
SvD Ledare,2026-07-11T06:00+02:00,Dags att ta Andersson på allvar,Fredrik Johansson,S måste redogöra för konsekvenserna av sitt sjuka förslag.,https://www.svd.se/a/bOQ4XA/dags-att-ta-magdalena-andersson-pa-allvar
