site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-14T05:00+02:00,"Var inte snål och banta biståndet, Andersson",Lina Stenberg,"Var inte snål och banta biståndet, Andersson",https://www.aftonbladet.se/ledare/a/pBKXJ6/var-inte-snal-och-banta-bistandet-andersson
DN Ledare,2026-07-14T05:48+02:00,Max Hjelm: Ciderkriget mellan Sverige och kontinenten är slut,Max Hjelm,"Det kan vara kul att filosofera över definitioner, men att kräva lagstiftning för tydlighetens skull kan också bli kvalificerat strunt – ingen missförstår vad en ”vegokorv” eller Briskas cider är.",https://www.dn.se/ledare/max-hjelm-ett-ciderkrig-mellan-sverige-och-kontinenten-nar-ett-obegripligt-slut/
Expressen Ledare,2026-07-13T18:00+02:00,Ingen vill jobba på tingsrätten i Tjottahejti,Expressens ledarredaktion,När domarbanan inte lockar de bästa juristerna är Sverige illa ute. Tomt på domarbänken. Det råder domarbrist i hela landet – men värst i småstäder.,https://www.expressen.se/ledare/ingen-vill-jobba-pa-tingsratten-i-tjottahejti/
Expressen Ledare,2026-07-14T06:10+02:00,Hellre nörderi än mer grupparbete,Malin Siwe,Det är inte fler ämnesövergripande grupparbeten eleverna behöver. Utan baskunskaper. Robotik hör hemma på högskolan.,https://www.expressen.se/ledare/malin-siwe/hellre-norderi-an-mer-grupparbete/
GP Ledare,2026-07-14T05:00+02:00,Socialdemokraternas bidragslinje slår mot välfärden,Håkan Boström,De mångmiljardkostnader som slopad karens skulle innebära borde i stället satsas på att förbättra arbetsmiljön i offentlig sektor.,https://www.gp.se/ledare/socialdemokraternas-bidragslinje-slar-mot-valfarden.a4c2a215-1ac2-47e9-8189-89dc2930509a
SvD Ledare,2026-07-14T06:00+02:00,Framgången ror Norge åt fel håll,Claes Arvidsson,Vm-yran ger ny kraft åt den norska självbelåtenheten.,https://www.svd.se/a/ExvE2o/framgangarna-ror-norge-at-fel-hall
