site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-11T21:00+02:00,Vilgot: Karensavdraget,Lina Stenberg,Robert Nyberg om skamlös regering,https://www.aftonbladet.se/ledare/a/pBKn81/vilgot-karensavdraget
Aftonbladet Ledare,2026-07-11T21:15+02:00,Att följa matcherna i värmen gör så jävla ont,Zina Al-Dewany,Sommarens fotbolls-VM badar i barnens blod,https://www.aftonbladet.se/ledare/a/q6Qm9m/sommarens-fotboll-badar-i-barnens-blod
DN Ledare,2026-07-11T19:06+02:00,Max Hjelm: Kristerssons avslöjande kommentar flög under radarn,Max Hjelm,I en intervju med DN gjorde statsministern det klart att kursen i migrationspolitiken ska hållas om Tidöpartierna vinner valet. Fler utvisningar är att vänta.,https://www.dn.se/ledare/max-hjelm-kristerssons-avslojande-kommentar-flog-under-radarn/
DN Ledare,2026-07-12T06:05+02:00,Ledare: Mer okej för IOK att döda idrottare än att hylla dem som dödats,DN:s ledarredaktion,"Ryssland ska åter släppas in i den olympiska värmen. Nu ska vi visst vända blad och ta varandra i hand, så att angripare och offer kan förbrödras genom sporten.",https://www.dn.se/ledare/mer-okej-for-iok-att-doda-idrottare-an-att-hylla-dem-som-dodats/
DN Ledare,2026-07-12T08:27+02:00,Elias Rosell: Sänkt moms på falukorv men höjd på vegetarisk?,Elias Rosell,Sänkt moms på falukorv och höjd moms på baba ganousch? Vad blir resultatet när regeringen vill differentisera matmomsen?,https://www.dn.se/ledare/elias-rosell-sankt-moms-pa-falukorv-och-hojd-moms-pa-baba-ganousch-lat-oss-slippa-tidos-matkasse/
Expressen Ledare,2026-07-11T18:00+02:00,Alla S-lotterier är inte dåliga,Linda Jerneck,Gör som Finland och Norge – våga experimentera med befolkningen. Norges finansminister Stoltenbergs experiment: sänker skatten för 100 000 unga.,https://www.expressen.se/ledare/linda-jerneck/alla-s-lotterier-ar-inte-daliga/
Expressen Ledare,2026-07-12T07:00+02:00,Sänk inte kraven på elever med diagnoser,Expressens ledarredaktion,"Bara 2 av 30 granskade resursskolor håller måttet, enligt Skolinspektionen. Eleverna lär sig för lite. Det är slöseri med elevernas talang och med skattepengar. Resursskolorna utmanar inte eleverna tillräckligt.",https://www.expressen.se/ledare/sank-inte-kraven-pa-elever-med-diagnoser/
GP Ledare,2026-07-12T05:00+02:00,Landskapen förtjänar en skylt på vägen,Håkan Boström,Landskapen är en central del av svensk kulturhistoria. Ändå behandlas de styvmoderligt av den svenska byråkratin.,https://www.gp.se/ledare/landskapen-fortjanar-en-skylt-pa-vagen.54139df8-4da7-4c97-83b4-d5b0d29b0bbf
GP Ledare,2026-07-12T05:00+02:00,Myten om förnuft och känsla,Johan Ingerö Alias,"Problemet uppstår inte när politiker vädjar till känslor, utan när de inte kan backa upp känslorna med fakta eller genomförbara idéer.",https://www.gp.se/ledare/gastkolumn/myten-om-fornuft-och-kansla.c08114b4-770d-4943-a477-373f74987f68
SvD Ledare,2026-07-12T06:00+02:00,I Kiev är vardag motståndskraft,Patrik Oksanen,I Ukrainas huvudstad får befolkningen livet att gå vidare.,https://www.svd.se/a/0pWrEG/i-kiev-ar-vardag-motstandskraft
