site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-12T12:00+02:00,De glömmer vad våra invandrare bidrar med,undertecknaren,De glömmer vad våra invandrare bidrar med,https://www.aftonbladet.se/debatt/a/5pWyrE/de-glommer-vad-vara-invandrare-bidrar-med
Aftonbladet Debatt,2026-07-12T15:30+02:00,“Borde släppa en bomb så vi blir av med dem...”,undertecknaren,“Borde släppa en bomb så vi blir av med dem...”,https://www.aftonbladet.se/debatt/a/9p8XXl/borde-slappa-en-bomb-sa-vi-blir-av-med-dem
DN Debatt,2026-07-11T20:00+02:00,”När USA nu vänt frihandeln ryggen kan Sverige ta täten”,Gunnar Hökmark,"DN Debatt. EU bör ta initiativ till ett djupare samarbete med frihandelspakten CPTPP, skriver Gunnar Hökmark, ordförande för tankesmedjan Frivärld",https://www.dn.se/debatt/nar-usa-nu-vant-frihandeln-ryggen-kan-sverige-ta-taten/
DN Debatt,2026-07-12T20:00+02:00,”Landsbygden kan lika gärna vara motorn i omställningen”,"Erland Mårald, professor i idéhistoria","DN Debatt. Framställs som dömd till bilen och bensinen. Men det skulle kunna vara precis tvärtom, skriver Erland Mårald, professor i idéhistoria.",https://www.dn.se/debatt/landsbygden-kan-lika-garna-vara-motorn-i-omstallningen/
Expressen Debatt,2026-07-12T14:23+02:00,DEBATT: 2 500 sjuksköterskor riskerar att få sparken,Julia Ekedahl,"Moderaterna menar att Socialdemokraterna i Stockholm prioriterar ideologi över behov när privata vårdformer stängs ner. Men det är inte driftsformen som är det viktiga. Oavsett ideologisk hemvist måste vi politiker inse att det är vårdpersonalen som kapar köerna, skriver Julia Ekedahl (S). Julia Ekedahl är regionpolitiker i Stockholm för Socialdemokraterna.",https://www.expressen.se/debatt/debatt-2-500-sjukskoterskor-riskerar-att-fa-sparken/
Expressen Debatt,2026-07-12T19:38+02:00,DEBATT: Om kriget kommer ska tågen gå i tid,"Daniel Helldén; Linus Lakso (MP), trafikpolitisk talesperson","Brister i den svenska tågtrafiken märks av varje dag. Därför är det hög tid att ta fram en nationell beredskapsplan för järnvägen, skriver Daniel Helldén (MP) och Linus Lakso (MP).",https://www.expressen.se/debatt/debatt-om-kriget-kommer-ska-tagen-ga-i-tid/
GP Debatt,2026-07-12T05:00+02:00,Hantera sjukskrivningar som antibiotika,"Isac Riddarsparre, ST-läkare i allmänmedicin & medarbetare tankesmedjan Synaps","Som vårdcentralsläkare har vi med egna ögon sett en sjukskrivningsepidemi härja inom primärvården. Alldeles för få allmänläkare vågar säga nej till skadliga och onödiga sjukskrivningar. Nu behöver stat, regioner och läkarkår samarbeta för att ändra kurs, skriver tre allmänläkare.",https://www.gp.se/debatt/hantera-sjukskrivningar-som-antibiotika.10a76828-9e62-413b-b2fc-09b8e72776d4
SvD Debatt,2026-07-11T19:45+02:00,Johan Gullberg: Försäkrings­logiken missar en stor grupp,,"DEBATT. Johan Gullberg: I social­försäkrings­systemet finns en grupp vars begränsningar är både varaktiga och ofrivilliga, men som ändå saknar naturligt för­säkrings­skydd mot konsekvenserna av dessa begränsningar.",https://www.svd.se/a/GxO5lx/johan-gullberg-forsakringslogiken-missar-en-stor-grupp
SvD Debatt,2026-07-12T19:45+02:00,Forskare: Varför skära så hårt i transportforskningen?,transportforskare från tolv svenska universitet och högskolor,DEBATT. En halvering av Trafikverkets anslag till transport­forskningen under den kommande tolvårs­perioden kommer att få mycket stora konsekvenser. Det skriver transportforskare från tolv svenska universitet och högskolor.,https://www.svd.se/a/6qW5J8/forskare-varfor-skara-sa-hart-itransportforskningen
Sydsvenskan Opinion,2026-07-12T06:05+02:00,”Starka känslor räcker inte som rovdjurspolitik.”,"Kjell Bäcklund, generalsekreterare för Svenska rovdjursföreningen","Den nuvarande regeringens prioriteringar är svåra att förstå, skriver Kjell Bäcklund, generalsekreterare för Svenska rovdjursföreningen.",https://www.sydsvenskan.se/opinion/starka-kanslor-racker-inte-som-rovdjurspolitik/
Sydsvenskan Opinion,2026-07-12T17:05+02:00,”Vargen är inte ett hot mot framtidens landsbygd.”,"Magnus Orrebrant, ordförande för föreningen Vilda djurens skydd",Detta är ett debattinlägg. Skribenterna svarar för åsikterna.,https://www.sydsvenskan.se/opinion/vargen-ar-inte-ett-hot-mot-framtidens-landsbygd/
