site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-21T06:30+02:00,Förbud mot Förintelse-jämförelser är farligt,"Dror Feiler, musiker, aktivist, talesperson för JIPF (Jews for Israeli Palestinian Peace) och ordförande för EJJP (European Jews for a Just Peace)",Förbud mot Förintelse-jämförelser är farligt,https://www.aftonbladet.se/debatt/a/6qWmjL/dror-feiler-forbud-mot-forintelse-jamforelser-ar-det-farliga
DN Debatt,2026-07-20T20:00+02:00,”Nostalgikerna har fel – det var inte bättre förr”,"Markus Uvell, opinionsanalytiker och vd för Nordic Public Affairs","DN Debatt. Nästa regering måste bryta med med pessimismen och ingjuta framtidstro, skriver opinionsanalytikern Markus Uvell.",https://www.dn.se/debatt/nostalgikerna-har-fel-det-var-inte-battre-forr/
Dagens industri Debatt,2026-07-21T06:30+02:00,L: Högre tillväxt är Sveriges lösning,"Simona Mohamsson, partiledare L Lars Leijonborg, riksdagskandidat för L och fd partiledare; Lars Leijonborg","Liberalerna kommer i nästa blågula regering att driva på för att göra betydligt mer för att pressa upp tillväxten. En röst på Liberalerna är en röst på högre tillväxt, skriver Simona Mohamsson, partiledare L och Lars Leijonborg, riksdagskandidat för L och fd partiledare.",https://www.di.se/debatt/l-hogre-tillvaxt-ar-sveriges-losning/
GP Debatt,2026-07-21T04:55+02:00,Fel att försvaga människors demokratiska självförtroende,"Henric Widén, ordförande i Liberalerna Göteborg",Replik,https://www.gp.se/debatt/fel-att-forsvaga-manniskors-demokratiska-sjalvfortroende.5a3fafd0-366e-4f49-9601-7d3849b57d85
GP Debatt,2026-07-21T05:00+02:00,Fler flickor begår självmord – nu måste vi politiker agera,"Amie Kronblad, ordförande Liberala Kvinnor","Historiskt sett har unga män varit kraftigt överrepresenterade i självmordsstatistiken. Bland de yngsta i samhället har den bilden nu raserats. En ny svensk forskningsstudie från Karolinska Institutet, Time trend analysis of all paediatric suicides in Sweden 1980–2023, visar på en mörk och linjär ökning av självmord bland unga flickor upp till 17 år, skriver Amie Kronblad (L).",https://www.gp.se/debatt/fler-flickor-begar-sjalvmord-nu-maste-vi-politiker-agera.519ac724-e3e0-428a-afd7-8fcc640761ba
SvD Debatt,2026-07-20T20:00+02:00,Kerstin Bodström och Tor Edsjö: Chockerande lite plats för lek på Årstafältet,Kerstin Bodström; Tor Edsjö,DEBATT. När Stockholms stad bygger på Årstafältet beräknas samtliga förskolegårdar bli mindre än vad stadens egna riktlinjer anger att de bör vara. Det skriver Kerstin Bodström och Tor Edsjö.,https://www.svd.se/a/q6m29w/kerstin-bodstrom-och-tor-edsjo-chockerande-lite-plats-for-lek-pa-arstafaltet
Sydsvenskan Opinion,2026-07-21T05:30+02:00,”Fler barn i Malmö ska få chansen att skriva nästa kapitel i stadens idrottshistoria.”,"Sanna Axelsson (S), ordförande i Malmös fritidsnämnd",Detta är ett debattinlägg. Skribenterna svarar för åsikterna.,https://www.sydsvenskan.se/opinion/fler-barn-i-malmo-ska-fa-chansen-att-skriva-nasta-kapitel-i-stadens-idrottshistoria/
