site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-23T06:30+02:00,Vegetarisk skolmat är inget nytt i Sverige,"Mattias Axelsson, gymnasielärare och författare till boken Tacos, tvättstuga och tack för senaste: svenska vanor A-Ö",Vegetarisk skolmat är inget nytt i Sverige,https://www.aftonbladet.se/debatt/a/j0kVVL/vegetarisk-skolmat-ar-inget-nytt-i-sverige
DN Debatt,2026-07-22T20:00+02:00,”Bakom flosklerna om ’svenskhet’ döljer sig rasism”,artikelförfattaren,"DN Debatt. Ekonomihistorikern Erik Thosteman om hur begreppet används för att flytta gränsen för vem som anses svensk, och dess politiska funktion.",https://www.dn.se/debatt/bakom-flosklerna-om-svenskhet-doljer-sig-rasism/
Expressen Debatt,2026-07-23T06:00+02:00,DEBATT: De borde inte läsa om pojkar med snippor,"Jessica Stegrud, socialpolitisk talesperson för Sverigedemokraterna; Sara Gille, jämställdhetspolitisk talesperson för Sverigedemokraterna","Att lära barn att alla har lika värde är en självklar del av förskolans uppdrag. Men det är inte samma sak som att göra frågor om kön och identitet till en central del av uppdraget. Förskolebarn ska inte göras till en del av vuxnas politiska eller ideologiska projekt, skriver tre sverigedemokrater. Sara Gille är jämställdhetspolitisk talesperson för Sverigedemokraterna.",https://www.expressen.se/debatt/debatt-de-borde-inte-lasa-om-pojkar-med-snippor/
GP Debatt,2026-07-23T04:55+02:00,Jag väljer att synliggöra strukturella samhällsproblem,"Anders Bartonek, docent i filosofi vid Södertörns högskola",Slutreplik,https://www.gp.se/debatt/jag-valjer-att-synliggora-strukturella-samhallsproblem.e31acbe7-84ac-475b-9eda-fcc145c8421c
GP Debatt,2026-07-23T05:00+02:00,Närvaro på jobbet är inte detsamma som prestation,,"När distansarbete utmanar den gällande ordningen behöver arbetsgivare inse att det inte längre räcker att mäta närvaro. De behöver bli betydligt bättre på att definiera vilka resultat som förväntas, vilken kvalitet som ska levereras och hur prestation ska följas upp, skriver Christina Alvelin.",https://www.gp.se/debatt/narvaro-pa-jobbet-ar-inte-detsamma-som-prestation.f42fc06f-0747-4b81-b262-84cd78de4bfe
SvD Debatt,2026-07-22T20:00+02:00,”AI en strategisk resurs i det nya kalla kriget”,"Evelina Anttila, grundare Nordan AI",DEBATT. Debattör: Pentagons insikt borde få konsekvenser även i Sverige.,https://www.svd.se/a/vrx00j/ai-en-strategisk-resurs-i-det-nya-kalla-kriget
SvD Debatt,2026-07-23T06:00+02:00,”Festivalen symbol för Eritreas förtryck”,Åsa Nilsson Söderström,DEBATT. Åsa Nilsson Söderström (L): Sverige behöver en strategi mot transnationellt förtryck.,https://www.svd.se/a/2pjM8R/festivalen-symbol-for-eritreas-fortryck
Sydsvenskan Opinion,2026-07-23T05:30+02:00,”Åldersgränser fungerar inte. Techföretagen måste ändra sina produkter.”,Kelly Stonelake,"EU-lagstiftningen kräver att produkter som släpps in i unionen ska vara bevisat oskadliga. Sociala medier ska inte vara ett undantag, skriver Kelly Stonelake, tidigare chef på Meta som blivit visselblåsare och arbetar för barns säkerhet på nätet.",https://www.sydsvenskan.se/opinion/aldersgranser-pa-sociala-medier-fungerar-inte-techforetagen-maste-andra-produkterna/
