site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-15T18:00+02:00,”Aldrig igen” inget löfte som bara gäller ett folk,undertecknaren i en replik,”Aldrig igen” inget löfte som bara gäller ett folk,https://www.aftonbladet.se/debatt/a/0pWx6B/aldrig-igen-inget-lofte-som-bara-galler-ett-folk
DN Debatt,2026-07-15T20:00+02:00,”Regionerna ser på när leverantörerna tar makten över vården”,"Lukas Saari, vd för Tandem Health",DN Debatt. Tandem Health kritiserar hur journalsystem låser in vårddata och hämmar konkurrensen i svensk sjukvård.,https://www.dn.se/debatt/regionerna-ser-pa-nar-leverantorerna-tar-makten-over-varden/
Dagens industri Debatt,2026-07-16T06:45+02:00,Replik: Gör Sverige starkt igen,"Magdalena Andersson, partiordförande Mikael Damberg, ekonomisk-politisk talesperson; Mikael Damberg","Vi socialdemokrater vill se en tillväxtpakt för Sverige. En överenskommelse där politiken och näringslivet krokar arm för att tillsammans peka ut riktningen, skriver Magdalena Andersson, partiordförande och Mikael Damberg, ekonomisk-politisk talesperson.",https://www.di.se/debatt/replik-gor-sverige-starkt-igen/
Expressen Debatt,2026-07-15T19:22+02:00,DEBATT: Därför har Björn Ranelid fel om svenska språket,"Gay Glans, kulturjournalist och författare; Björn Ranelid, menar att Ulf Kristersson och Amanda Lind – och för den delen alla andra – bör hålla sig till svenska, och undvika engelska ord. Jag håller inte med. Språket måste få utvecklas, skriver Gay Glans. Gay Glans är kulturjournalist och författare; Amanda Lind, och undvika engelska ord. Jag håller inte med. Språket måste få utvecklas, skriver Gay Glans. Gay Glans är kulturjournalist och författare","Björn Ranelid menar att Ulf Kristersson och Amanda Lind – och för den delen alla andra – bör hålla sig till svenska, och undvika engelska ord. Jag håller inte med. Språket måste få utvecklas, skriver Gay Glans. Gay Glans är kulturjournalist och författare.",https://www.expressen.se/debatt/debatt-darfor-har-bjorn-ranelid-fel-om-svenska-spraket/
GP Debatt,2026-07-16T05:00+02:00,KD: Stäng kriminella välfärdsföretag snabbare,"Jakob Forssmed (KD), första vice partiledare och socialminister; Elisabet Lann (KD), riksdagskandidat för Göteborg och sjukvårdsminister","Ett av de stora hoten mot vår starka välfärd kommer från den organiserade brottsligheten. Därför vill vi utreda om Åklagarmyndigheten kan ges befogenhet att snabbt agera när välfärdsverksamheter misstänks kontrolleras av gängkriminella. Åklagarmyndigheten bör snabbt kunna agera redan under utredningsskedet för att hindra att enskilda far illa och att skattepengar läcker in i gängkriminella miljöer, skriver Kristdemokraterna.",https://www.gp.se/debatt/kd-stang-kriminella-valfardsforetag-snabbare.da716b9e-a026-4555-be78-acee42ab7fbd
SvD Debatt,2026-07-15T19:45+02:00,Forskare: Låt en direktion styra koldioxidskatten,flera forskare,"DEBATT. Vi föreslår att Sverige utreder en oberoende klimat­politisk direktion med ansvar för att justera koldioxid­skatten. Då kan klimat­politiken bli lika stabil som penning­politiken, skriver flera forskare.",https://www.svd.se/a/7pBGx4/forskare-lat-en-direktion-styra-koldioxidskatten
SvD Debatt,2026-07-16T08:15+02:00,Hyresgästföreningen: Utvärdera stöden till bostadssektorn,Ragnar Bengtsson,"DEBATT. När vi har granskat 31 offentliga stöd, subventioner och skatteavvikelser kopplade till bostäder är resultatet anmärkningsvärt. Sjutton av stöden har aldrig utvärderats av någon myndighet, skriver Ragnar Bengtsson, Hyresgästföreningen.",https://www.svd.se/a/wrxpyo/hyresgastforeningen-utvardera-stoden-till-bostadssektorn
Sydsvenskan Opinion,2026-07-16T05:30+02:00,”Falska anklagelser är psykiskt våld.”,"Peter Meurling, företrädare för VBU, föreningen Vårdnad boende umgänge i Sverige; Mikael Lundström, företrädare för VBU, föreningen Vårdnad boende umgänge i Sverige","Om Sverige menar allvar med att bekämpa psykiskt våld måste medvetet falska anklagelser behandlas därefter, skriver Peter Meurling och Mikael Lundström, företrädare för VBU, föreningen Vårdnad boende umgänge i Sverige.",https://www.sydsvenskan.se/opinion/falska-anklagelser-ar-psykiskt-vald/
