site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-13T18:00+02:00,Regeringens sista straffreform är en bluff,"Teresa Carvalho, rättspolitisk talesperson (S)",Sverige behöver en offensiv kriminalpolitik som möter verkligheten och bekämpar brottsligheten. Men Tidöregeringens sista straffreform ska klubbas av riksdagen,https://www.aftonbladet.se/debatt/a/16W8zK/regeringens-sista-straffreform-ar-en-bluff
Aftonbladet Debatt,2026-07-14T06:30+02:00,Vilka åtgärder planerar våra politiska partier?,undertecknaren,Vilka åtgärder planerar våra politiska partier?,https://www.aftonbladet.se/debatt/a/43WG4V/stigande-priser-i-host-vilka-atgarder-planerar-vara-politiska-partier
DN Debatt,2026-07-13T20:00+02:00,”Så här lagar vi den svenska bostadsmarknaden”,"Louis Landeman, chef för hållbarhetsanalys Danske bank; Lennart Weiss","DN Debatt. Det krävs en radikal omläggning, skriver två bostadspolitiska experter.",https://www.dn.se/debatt/sa-har-lagar-vi-den-svenska-bostadsmarknaden/
Dagens industri Debatt,2026-07-14T08:00+02:00,Elisabeth Thand Ringqvist om Sveriges tillväxt,"Elisabeth Thand Ringqvist, partiledare Centerpartiet",Elisabeth Thand Ringqvist diskuterar Sveriges framtid och vikten av långsiktiga investeringar för att stärka tillväxt och innovation i landet.,https://www.di.se/debatt/replik-sverige-kan-mer-och-ska-vara-det-sjalvklara-valet/
Expressen Debatt,2026-07-14T05:00+02:00,DEBATT: Gör det dyrare att missa läkarbesök,Karin Elinder,"Varje år går hundratusentals vårdbesök till spillo. Det innebär ett slöseri av skattemedel i miljardklassen. Respekten för vårdens tid behöver öka och avgiften för den som inte avbokar sitt besök i tid måste höjas, skriver Karin Elinder, Timbro. Karin Elinder är välfärdsexpert vid tankesmedjan Timbro.",https://www.expressen.se/debatt/debatt-gor-det-dyrare-att-missa-lakarbesok/
GP Debatt,2026-07-14T04:55+02:00,S: Vi vill pressa veterinärpriserna,"Åsa Westlund (S), gruppledare miljö- och jordbruksutskottet","World Animal Protection har rätt i sin analys: vi måste ta tillbaka kontrollen över veterinärmarknaden. Det handlar om ett marknadsmisslyckande som har lett till skenande veterinärkostnader där enskilda djurägare hamnar i kläm. Människor tvingas välja mellan sitt husdjurs hälsa och sin privatekonomi. Det är inte rimligt, skriver Åsa Westlund (S) i miljö- och jordbruksutskottet.",https://www.gp.se/debatt/s-vi-vill-pressa-veterinarpriserna.c47b3251-85f2-478a-86bb-b4405fe1c8e3
GP Debatt,2026-07-14T07:16+02:00,Att inte ställa samma krav på oss invandrare är rasistiskt,"Mosa M Sebdani, systemutvecklare och debattör","Ibland undrar jag om rödgröna opinionsbildare och aktivister tror att vi invandrare är en hotad art. Något att bevara, skydda och hägna in i vårat naturliga habitat, och framför allt aldrig mäta med samma måttstock som andra. De kanske ser det som omtanke. Jag uppfattar det som förakt, skriver debattören Mosa M. Sebdani.",https://www.gp.se/debatt/att-inte-stalla-samma-krav-pa-oss-invandrare-ar-rasistiskt.0827c5b0-8f01-46f4-9f6c-267026f1967e
SvD Debatt,2026-07-13T19:45+02:00,Bryggeriföreningar: Nya EU-regler för förpackningar slår helt fel i Norden,företrädare för nordiska bryggeri­föreningar,DEBATT. Den nya förpacknings­förordningen i EU kommer att leda till högre priser och mer krångel för nordiska konsumenter – allt utan vinning för miljö och klimat. Det skriver företrädare för nordiska bryggeri­föreningar.,https://www.svd.se/a/8pOz7d/bryggeriforeningar-nya-eu-regler-for-forpackningar-slar-helt-fel-inorden
SvD Debatt,2026-07-14T08:15+02:00,Carl Johan Sonesson: SAS storsatsning gynnar hela Sverige,"Carl Johan Sonesson, ordförande i Greater Copenhagen","DEBATT. Att det som är bra för Köpenhamns flygplats samt för arbetsmarknad och näringsliv i södra Sverige enbart har positiva effekter regionalt, är ett stort och ödeläggande missförstånd. Det skriver Carl Johan Sonesson, ordförande i Greater Copenhagen.",https://www.svd.se/a/e7O0xg/carl-johan-sonesson-sas-storsatsning-gynnar-hela-sverige
Sydsvenskan Opinion,2026-07-14T05:30+02:00,SD: ”Akademisk frihet innebär inte frihet från ansvar.”,"Patrick Reslow (SD), skolpolitisk talesperson",Detta är ett debattinlägg. Skribenterna svarar för åsikterna.,https://www.sydsvenskan.se/opinion/sd-akademisk-frihet-innebar-inte-frihet-fran-ansvar/
